index,time,event,player_id,starred
424,2210.56,pass,4,0
425,2211.61,pass,6,0
426,2224.94,pass,10,0
427,2226.48,pass,9,0
428,2227.76,pass,16,0
429,2229.18,pass,3,0
430,2231.87,pass,2,0
431,2233.16,pass,16,0
432,2234.73,pass,3,0
433,2236.26,save,6,0
434,2237.69,pass,6,0
435,2238.99,clearance,16,0
436,2241.13,shot,11,0
437,2249.48,pass,6,0
